"M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source","ID"
5,2,2,4,4,4,5,2,4,2,2,1,2,3,4,1,4,1,3,4,2,1,2,2,2,3,2,"GB",1,"6331"
4,1,2,2,2,3,3,1,4,4,4,1,2,3,2,2,4,4,2,4,1,3,4,2,5,1,2,"US",3,"15211"
4,4,3,2,4,4,5,3,4,2,3,4,2,3,2,2,3,3,4,2,3,2,4,2,2,5,2,"US",2,"16156"
4,3,2,2,5,4,4,2,3,4,2,4,4,4,4,3,3,3,2,4,2,2,3,2,4,1,2,"CN",3,"6302"
3,2,2,3,2,2,4,3,2,1,2,2,2,3,2,3,4,4,1,5,1,3,4,2,5,1,3,"CA",1,"9597"
5,4,4,3,3,5,5,4,3,3,5,2,2,4,5,3,2,4,3,3,4,2,3,4,3,1,2,"US",1,"1638"
5,4,4,4,5,5,5,2,5,4,2,3,5,4,2,4,2,3,3,4,5,2,5,5,5,4,4,"AU",1,"2597"
4,4,2,3,5,3,4,4,4,2,3,3,4,2,4,2,2,3,3,5,1,2,5,4,5,1,4,"GB",1,"3401"
3,2,3,3,2,4,5,1,5,4,1,2,3,2,2,4,4,4,2,4,3,2,3,3,1,1,3,"GB",2,"8857"
5,3,4,5,5,5,5,2,5,4,2,3,4,4,4,3,2,5,5,5,5,1,4,4,5,2,3,"IN",1,"3220"
3,1,2,2,2,2,3,2,4,2,4,2,2,2,4,4,4,2,1,5,1,1,3,2,4,1,1,"US",2,"13983"
5,2,4,4,5,5,5,4,5,3,2,3,4,3,4,4,2,4,2,3,2,2,3,3,4,3,4,"HK",1,"1490"
4,3,2,4,3,2,5,1,4,5,1,4,4,4,4,3,2,3,1,4,1,2,2,1,5,1,2,"US",1,"7190"
4,1,2,2,2,2,3,2,4,3,3,2,1,1,3,1,4,2,4,2,1,3,3,1,4,1,1,"GB",1,"10767"
4,4,4,3,4,4,4,2,4,5,2,3,3,4,3,4,1,5,2,2,4,2,5,4,5,2,4,"FI",3,"16988"
4,4,4,2,2,2,4,1,1,2,4,1,2,4,5,4,2,4,4,1,1,2,4,1,5,1,2,"GB",1,"6599"
3,5,3,4,5,4,5,4,5,2,4,4,2,2,5,2,1,2,2,5,4,2,4,4,5,1,4,"FI",3,"16985"
2,1,2,1,1,1,2,2,1,1,5,1,1,1,3,1,3,4,1,4,1,2,1,3,5,1,1,"US",3,"2510"
5,1,2,2,1,1,3,2,3,2,3,1,2,3,4,3,4,3,1,3,1,1,1,1,5,1,1,"AU",1,"6087"
4,2,2,1,2,4,4,2,4,3,2,4,3,4,4,2,4,4,4,2,3,4,3,4,4,4,2,"SE",1,"16507"
4,1,1,1,2,5,5,2,1,3,2,4,4,2,4,2,5,3,2,4,1,2,4,1,5,1,1,"US",1,"6686"
4,4,3,5,4,3,4,4,3,3,2,3,4,4,2,2,4,5,2,4,1,2,2,2,2,2,2,"US",3,"17648"
4,4,4,4,5,5,4,3,4,4,4,1,1,5,2,1,3,5,5,3,5,1,5,4,3,4,4,"US",1,"686"
5,2,2,4,2,4,5,2,4,2,1,4,3,3,2,4,1,4,4,5,4,1,4,2,1,2,1,"NO",2,"5612"
2,2,2,2,2,3,3,3,4,4,4,1,2,1,4,2,4,2,1,2,2,2,4,2,1,4,1,"US",3,"8678"
5,3,5,2,1,1,4,3,5,3,2,3,4,4,4,2,1,5,2,3,3,2,2,3,2,1,2,"US",3,"1082"
4,1,1,3,1,1,3,1,2,3,4,1,1,4,2,3,2,1,1,5,1,1,1,1,5,1,2,"CA",3,"8720"
5,5,5,4,5,5,5,5,5,5,1,4,1,5,1,3,1,4,5,1,5,2,5,5,1,5,5,"US",1,"14401"
5,2,4,4,2,2,4,2,2,5,1,3,4,4,1,5,3,4,4,4,3,2,2,2,5,1,2,"AE",1,"5233"
5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,5,5,5,5,5,5,3,5,5,1,1,5,"US",1,"1676"
5,3,4,4,4,4,5,5,5,3,2,3,4,3,1,3,2,3,4,2,5,5,5,4,5,1,5,"MY",2,"4513"
5,5,4,2,2,5,5,5,5,2,1,3,2,4,1,2,1,5,2,1,2,4,5,4,1,4,4,"US",2,"16365"
4,1,3,5,2,4,5,5,4,4,5,3,5,3,2,3,1,4,5,3,2,4,4,3,5,2,1,"AU",3,"11995"
4,2,2,2,3,3,3,2,2,4,4,2,2,3,4,2,2,2,3,2,2,1,3,2,4,2,1,"US",1,"9311"
1,1,2,1,1,1,2,1,3,4,5,1,3,3,2,1,3,3,1,4,1,1,1,1,5,1,1,"US",3,"3773"
5,1,5,5,1,5,5,1,5,1,5,3,1,5,1,1,5,1,1,5,5,1,4,5,5,1,1,"CA",1,"8376"
5,5,5,4,5,5,5,1,4,4,2,5,4,5,2,5,2,4,5,2,4,5,5,3,3,1,4,"PH",1,"4700"
4,4,4,3,3,4,5,3,5,3,2,2,4,2,2,2,1,4,3,2,2,1,4,3,3,1,3,"SG",3,"7237"
4,4,5,4,4,3,5,2,4,4,3,3,2,4,4,3,2,4,2,2,5,4,5,3,5,2,2,"US",1,"4382"
